"id","name","industry","subindustry","address","street","house_nr","postal_code","city","state","country","phone","skype","url","logo","email"
"4755","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","12018 Auburn Road, Laredo, TX 78045"," Auburn Road","12018","TX 78045"," Laredo","Texas","USA","(956) 727-4965",NULL,,NULL,NULL
"4756","AIT Worldwide Logistics","Customs Brokers","Freight Forwarding","1435 S 4800 W, Suite #200, Salt Lake City, UT 84104"," S 4800 W Suite #200","1435","UT 84104"," Salt Lake City","Utah","USA","(801) 975-7111",NULL,,NULL,NULL
"4757","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","8000 Centre Park Drive, Suite #150, Austin, TX 78754"," Centre Park Drive Suite #150","8000","TX 78754"," Austin","Texas","USA","(512) 491-8610",NULL,,NULL,NULL
"4758","Livingston International","Customs Brokers","Freight Forwarding","5777 W Century Boulevard, Suite #960, Los Angeles, CA 90045"," W Century Boulevard Suite #960","5777","CA 90045"," Los Angeles","California","USA","(310) 649-4598",NULL,,NULL,NULL
"4759","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","2550 Ellsmere Avenue, Suite B, Norfolk, VA 23513"," Ellsmere Avenue Suite B","2550","VA 23513"," Norfolk","Virginia","USA","(757) 853-7776",NULL,,NULL,NULL
"4760","A.N. Deringer, Inc.","Customs Brokers","Freight Forwarding","465 Caswell Avenue, Derby Line, VT 05830"," Caswell Avenue","465","VT 5830"," Derby Line","Vermont","USA","(802) 873-3109",NULL,,NULL,NULL
"4761","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","1325 Pendale Road, El Paso, TX 79936"," Pendale Road","1325","TX 79936"," El Paso","Texas","USA","(915) 858-6994",NULL,,NULL,NULL
"4762","DB Schenker USA","Customs Brokers","Freight Forwarding","1305 Executive Blvd, Suite #200, Chesapeake, VA 23320"," Executive Blvd Suite #200","1305","VA 23320"," Chesapeake","Virginia","USA","(757) 821-3700",NULL,,NULL,NULL
"4763","DB Schenker USA","Customs Brokers","Freight Forwarding","1448 Constitution Drive, Neenah, WI 54956"," Constitution Drive","1448","WI 54956"," Neenah","Wisconsin","USA","(920) 722-7900",NULL,,NULL,NULL
"4764","XTRA Lease","Trailer Rental, Leasing & Sales",NULL,"5901 S Garfield Ave, Commerce, CA 90040"," S Garfield Ave","5901","CA 90040"," Commerce","California","USA","(323) 728-9488",NULL,,NULL,NULL
"4765","Semi-Trailer Sales & Leasing, Inc.","Trailer Rental, Leasing & Sales",NULL,"4009 East Divide Avenue, Bismarck, ND 58501"," East Divide Avenue","4009","ND 58501"," Bismarck","North Dakota","USA","(701) 355-1000",NULL,,NULL,NULL
"4766","Patrick Vasquez Customs Broker, Inc.","Customs Brokers","Freight Forwarding","14110 Business Avenue, Laredo, TX 78045"," Business Avenue","14110","TX 78045"," Laredo","Texas","USA","(956) 729-1999",NULL,,NULL,NULL
"4767","C.H. Robinson Worldwide, Inc.","Customs Brokers","Freight Forwarding","1515 W University Dr #105, Tempe, AZ 85281"," W University Dr #105","1515","AZ 85281"," Tempe","Arizona","USA","(480) 894-2005",NULL,,NULL,NULL
"4768","GHY International","Customs Brokers","Freight Forwarding","809-167 Lombard Ave, Winnipeg, MB R3B 3H8","809-167 Lombard Ave","1515","0"," Winnipeg","MB","Canada","(204) 947-6851",NULL,,NULL,NULL
"4769","XTRA Lease","Trailer Rental, Leasing & Sales",NULL,"301 W Taft Vineland Road, Orlando, FL 32824"," W Taft Vineland Road","301","FL 32824"," Orlando","Florida","USA","(407) 826-0595",NULL,,NULL,NULL
"4770","Benairs Logistics Ltd","Customs Brokers","Freight Forwarding","Airport North Rd, Nairobi","Airport North Rd",NULL,NULL,"Nairobi",,"Kenya","+254(2)2385329",NULL,,,NULL
"4771","Inter Winst","Customs Brokers","Freight Forwarding","Waalhaven, Albert Plesmanweg 41H, 3088 Waalhaven district","Waalhaven","301","0"," Albert Plesmanweg 41H","3088","The Netherlands","+31104291159",NULL,,,NULL
"4772","Customs Broker Miami","Customs Brokers","Freight Forwarding","117 NW 42nd Ave, Miami, FL 33126"," NW 42nd Ave","117","FL 33126"," Miami","Florida","USA","(786) 223-5983",NULL,,,NULL
"4773","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","2850 Wall Triana Hwy, Huntsville, AL 35824"," Wall Triana Hwy","2850","AL 35824"," Huntsville","Alabama","USA","(256) 774-1156",NULL,,NULL,NULL
"4774","Kuehne + Nagel Inc.","Customs Brokers","Freight Forwarding","2101 Clinton Avenue W, Huntsville, AL 35801"," Clinton Avenue W","2101","AL 35801"," Huntsville","Alabama","USA","(256) 464-0888",NULL,,NULL,NULL
"4775","Clasquin Georgia","Customs Brokers","Freight Forwarding","85 Zakaria Paliashvili St, Tbilisi","85 Zakaria Paliashvili St",NULL,NULL,"Tbilisi",,"Georgia","+ 995 32 2 149 159",NULL,,,NULL
"4776","Pangea Logistics Network, Ltd.","Customs Brokers","Freight Forwarding","1 Pope St, London, Greater London SE1 3PR","1 Pope St","2101","0"," London","Greater","UK","+44 2073977351",NULL,,,NULL
"4777","Falcone Global Solutions, LLC","Customs Brokers","Freight Forwarding","3348 Peachtree Rd NE, Atlanta, GA 30326"," Peachtree Rd NE","3348","GA 30326"," Atlanta","Georgia","USA","(855) 202-6377",NULL,,,NULL
"4778","Dedola Global Logistics","Customs Brokers","Freight Forwarding","3822 Katella Ave, Los Alamitos, CA 90720"," Katella Ave","3822","CA 90720"," Los Alamitos","California","USA","(562) 594-8988",NULL,,,NULL
"4779","Folgueras Customs Broker Corp.","Customs Brokers","Freight Forwarding","10540 NW 26th St, Doral, FL 33172"," NW 26th St","10540","FL 33172"," Doral","Florida","USA","(305) 556-5230",NULL,,,NULL
"4780","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","1136 S 3600 W, Bldg 2, Suite #400, Salt Lake City, UT 84104"," S 3600 W Bldg 2 Suite #400","1136","UT 84104"," Salt Lake City","Utah","USA","(801) 303-6400",NULL,,NULL,NULL
"4781","DB Schenker USA","Customs Brokers","Freight Forwarding","15800 International Plaza Drive, Suite #100,‎ Houston, TX 77032"," International Plaza Drive Suite #100","15800","TX 77032","‎ Houston","Texas","USA","(281) 442-5001",NULL,,NULL,NULL
"4782","DB Schenker USA","Customs Brokers","Freight Forwarding","3684 W 2340 S, Suite F, Salt Lake City, UT 84120"," W 2340 S Suite F","3684","UT 84120"," Salt Lake City","Utah","USA","(800) 822-2623",NULL,,NULL,NULL
"4783","AIT Worldwide Logistics","Customs Brokers","Freight Forwarding","2004-A 48th Avenue Ct E, Fife, WA 98424","2004-A 48th Avenue Ct E","3684","WA 98424"," Fife","Washington","USA","(253) 926-8326",NULL,,NULL,NULL
"4784","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","555 Marriott Drive, Nashville, TN 37214"," Marriott Drive","555","TN 37214"," Nashville","Tennessee","USA","(615) 883-8383",NULL,,NULL,NULL
"4785","DACHSER Transport of America, Inc.","Customs Brokers","Freight Forwarding","19175 Lee Road, Suite #210, Humble, TX 77338"," Lee Road Suite #210","19175","TX 77338"," Humble","Texas","USA","(281) 443-9333",NULL,,NULL,NULL
"4786","BNSF Logistics","Customs Brokers","Freight Forwarding","11600 College Blvd, Suite #200, 2nd Floor, Overland Park, KS 66210"," College Blvd Suite #200 2nd Floor","11600","KS 66210"," Overland Park","Kansas","USA","(855) 894-3658",NULL,,NULL,NULL
"4787","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","610 Lambert Pointe Drive, Hazelwood, MO 63042"," Lambert Pointe Drive","610","MO 63042"," Hazelwood","Missouri","USA","(314) 426-6606",NULL,,NULL,NULL
"4788","BNSF Logistics","Customs Brokers","Freight Forwarding","11333 E Pine Street, Suite #112, Tulsa, OK 74116"," E Pine Street Suite #112","11333","OK 74116"," Tulsa","Oklahoma","USA","(918) 437-3591",NULL,,NULL,NULL
"4789","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","3101 Yorkmont Road, Suite #2400, Charlotte, NC 28208"," Yorkmont Road Suite #2400","3101","NC 28208"," Charlotte","North Carolina","USA","(704) 329-0303",NULL,,NULL,NULL
"4790","DACHSER Transport of America, Inc.","Customs Brokers","Freight Forwarding","20 W Lincoln Avenue, Suite #206, Valley Stream, NY 11580"," W Lincoln Avenue Suite #206","20","NY 11580"," Valley Stream","New York","USA","(516) 561-7800",NULL,,NULL,NULL
"4791","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","7200 Alum Creek Drive, Columbus, OH 43217"," Alum Creek Drive","7200","OH 43217"," Columbus","Ohio","USA","(614) 497-2841",NULL,,NULL,NULL
"4792","DB Schenker USA","Customs Brokers","Freight Forwarding","896 Frelinghuysen Avenue, Newark, NJ 07114"," Frelinghuysen Avenue","896","NJ 7114"," Newark","New Jersey","USA","(973) 954-2000",NULL,,NULL,NULL
"4793","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","120 Southcenter Court, Suite #500, Morrisville, NC 27560"," Southcenter Court Suite #500","120","NC 27560"," Morrisville","North Carolina","USA","(919) 460-3101",NULL,,NULL,NULL
"4794","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","670 Marina Drive, Charleston, SC 29492"," Marina Drive","670","SC 29492"," Charleston","South Carolina","USA","(843) 884-5550",NULL,,NULL,NULL
"4795","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","1511 Sunday Drive, Raleigh, NC 27607"," Sunday Drive","1511","NC 27607"," Raleigh","North Carolina","USA","(919) 334-2900",NULL,,NULL,NULL
"4796","APL Logistics","Customs Brokers","Freight Forwarding","1085 Morris Avenue, Suite #200, Union, NJ 07083"," Morris Avenue Suite #200","1085","NJ 7083"," Union","New Jersey","USA","(908) 977-1700",NULL,,NULL,NULL
"4797","Valley Express, Inc.","Customs Brokers","Freight Brokers","4201 38th Street S, Suite #205, Fargo, ND 58104"," 38th Street S Suite #205","4201","ND 58104"," Fargo","North Dakota","USA","(701) 365-0424",NULL,,NULL,NULL
"4798","DB Schenker USA","Customs Brokers","Freight Forwarding","951 Hornet Drive, Suite #275, Hazelwood, MO 63042"," Hornet Drive Suite #275","951","MO 63042"," Hazelwood","Missouri","USA","(314) 292-3600",NULL,,NULL,NULL
"4799","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","1501 Distribution Drive, Carlisle, PA 17013"," Distribution Drive","1501","PA 17013"," Carlisle","Pennsylvania","USA","(717) 243-4560",NULL,,NULL,NULL
"4800","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","519 Kaiser Drive, Suite A, Folcroft, PA 19032"," Kaiser Drive Suite A","519","PA 19032"," Folcroft","Pennsylvania","USA","(610) 534-2590",NULL,,NULL,NULL
"4801","BNSF Logistics","Customs Brokers","Freight Forwarding","1107-1133 Aviation Blvd, Hebron, KY 41048","1107-1133 Aviation Blvd","519","KY 41048"," Hebron","Kentucky","USA","(859) 586-0057",NULL,,NULL,NULL
"4802","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","150 Raritan Center Parkway, Edison, NJ 08837"," Raritan Center Parkway","150","NJ 8837"," Edison","New Jersey","USA","(732) 225-8670",NULL,,NULL,NULL
"4803","Mainfreight USA","Customs Brokers","Freight Forwarding","1100 E Howard Lane, Suite #300, Austin, TX 78753"," E Howard Lane Suite #300","1100","TX 78753"," Austin","Texas","USA","(512) 225-0905",NULL,,NULL,NULL
"4804","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","6950 Engle Road, Suite XX, Middleburg Heights, OH 44130"," Engle Road Suite XX","6950","OH 44130"," Middleburg Heights","Ohio","USA","(440) 243-9900",NULL,,NULL,NULL
"4805","DB Schenker USA","Customs Brokers","Freight Forwarding","8201 Perimeter Road S, Seattle, WA 98108"," Perimeter Road S","8201","WA 98108"," Seattle","Washington","USA","(206) 763-5618",NULL,,NULL,NULL
"4806","BNSF Logistics","Customs Brokers","Freight Forwarding","180 Franklin Turnpike, Mahwah, NJ 07430"," Franklin Turnpike","180","NJ 7430"," Mahwah","New Jersey","USA","(201) 512-0550",NULL,,NULL,NULL
"4807","DB Schenker USA","Customs Brokers","Freight Forwarding","330 E Mahn Court, Oak Creek, WI 53154"," E Mahn Court","330","WI 53154"," Oak Creek","Wisconsin","USA","(414) 574-2400",NULL,,NULL,NULL
"4808","DB Schenker USA","Customs Brokers","Freight Forwarding","2400 Esters Blvd, DFW Airport, Dallas, TX 75261"," Esters Blvd DFW Airport","2400","TX 75261"," Dallas","Texas","USA","(214) 702-7060",NULL,,NULL,NULL
"4809","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","500 E Main Street, Norfolk, VA 23510"," E Main Street","500","VA 23510"," Norfolk","Virginia","USA","(757) 533-9668",NULL,,NULL,NULL
"4810","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","18255 Humble Parkway, Humble, TX 77338"," Humble Parkway","18255","TX 77338"," Humble","Texas","USA","(281) 913-2800",NULL,,NULL,NULL
"4811","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"4812","Logistics Plus, Inc.","Customs Brokers","Freight Forwarding","13806 N Unitec Drive, Laredo, TX 78045"," N Unitec Drive","13806","TX 78045"," Laredo","Texas","USA","(956) 237-3782",NULL,,NULL,NULL
"4813","BNSF Logistics","Customs Brokers","Freight Forwarding","16445 Air Center Boulevard, Suite #100, Houston, TX 77032"," Air Center Boulevard Suite #100","16445","TX 77032"," Houston","Texas","USA","(855) 494-2049",NULL,,NULL,NULL
"4814","DB Schenker USA","Customs Brokers","Freight Forwarding","3644 Winchester Road, Suite #105, Memphis, TN 38118"," Winchester Road Suite #105","3644","TN 38118"," Memphis","Tennessee","USA","(901) 363-2595",NULL,,NULL,NULL
"4815","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","8510 W Bob Bullock Loop, Laredo, TX 78045"," W Bob Bullock Loop","8510","TX 78045"," Laredo","Texas","USA","(956) 721-7070",NULL,,NULL,NULL
"4816","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","506 E Dallas Road, Suite #400, Grapevine, TX 76051"," E Dallas Road Suite #400","506","TX 76051"," Grapevine","Texas","USA","(817) 305-4000",NULL,,NULL,NULL
"4817","On Time Express, Inc.","Customs Brokers","Freight Forwarding","3409 High Prairie Road, Grand Prairie, TX 75050"," High Prairie Road","3409","TX 75050"," Grand Prairie","Texas","USA","(972) 313-6570",NULL,,NULL,NULL
"4818","Expedited Logistics and Freight Services, Ltd.","Customs Brokers","Freight Forwarding","4740 Consulate Plaza Drive, Houston, TX 77032"," Consulate Plaza Drive","4740","TX 77032"," Houston","Texas","USA","(281) 442-3323",NULL,,NULL,NULL
"4819","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","15450 Diplomatic Plaza Drive, Houston, TX 77032"," Diplomatic Plaza Drive","15450","TX 77032"," Houston","Texas","USA","(281) 449-8888",NULL,,NULL,NULL
"4820","A.N. Deringer, Inc.","Customs Brokers","Freight Forwarding","469 Welcome Center Road, Highgate Springs, VT 05460"," Welcome Center Road","469","VT 5460"," Highgate Springs","Vermont","USA","(802) 466-8600",NULL,,NULL,NULL
"4821","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","300 E Capote Central Avenue, Suite #100, Pharr, TX 78577"," E Capote Central Avenue Suite #100","300","TX 78577"," Pharr","Texas","USA","(956) 843-7788",NULL,,NULL,NULL
"4822","DB Schenker USA","Customs Brokers","Freight Forwarding","5635 Corrugated Road, Sandston, VA 23150"," Corrugated Road","5635","VA 23150"," Sandston","Virginia","USA","(804) 236-1925",NULL,,NULL,NULL
"4823","APL Logistics","Customs Brokers","Freight Forwarding","34119 W 12 Mile Road, Suite #300, Farmington Hills, MI 48331"," W 12 Mile Road Suite #300","34119","MI 48331"," Farmington Hills","Michigan","USA","(248) 991-9956",NULL,,NULL,NULL
"4824","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","921 W Bethel Road, Coppell, TX 75019"," W Bethel Road","921","TX 75019"," Coppell","Texas","USA","(972) 471-2900",NULL,,NULL,NULL
"4825","DACHSER Transport of America, Inc.","Customs Brokers","Freight Forwarding","8861 NW 18th Terrace, Suite #120, Miami, FL 33172"," NW 18th Terrace Suite #120","8861","FL 33172"," Miami","Florida","USA","(305) 477-9595",NULL,,NULL,NULL
"4826","Logistics Plus, Inc.","Customs Brokers","Freight Forwarding","664 Old Hargrave Road, Suite B, Lexington, NC 27295"," Old Hargrave Road Suite B","664","NC 27295"," Lexington","North Carolina","USA","(336) 956-0300",NULL,,NULL,NULL
"4827","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","639 Lambert Pointe Drive, St. Louis, MO 63042"," Lambert Pointe Drive","639","MO 63042"," St. Louis","Missouri","USA","(314) 731-0101",NULL,,NULL,NULL
"4828","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","1187 Thorn Run Road Extension, Coraopolis, PA 15108"," Thorn Run Road Extension","1187","PA 15108"," Coraopolis","Pennsylvania","USA","(412) 507-5300",NULL,,NULL,NULL
"4829","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","19695 Commerce Parkway, Middleburg Heights, OH 44130"," Commerce Parkway","19695","OH 44130"," Middleburg Heights","Ohio","USA","(440) 243-6070",NULL,,NULL,NULL
"4830","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","977 Shotwell Road, Clayton, NC 27520"," Shotwell Road","977","NC 27520"," Clayton","North Carolina","USA","(919) 359-0482",NULL,,NULL,NULL
"4831","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","2508 N Marine Drive, Portland, OR 97217"," N Marine Drive","2508","OR 97217"," Portland","Oregon","USA","(503) 254-3707",NULL,,NULL,NULL
"4832","DB Schenker USA","Customs Brokers","Freight Forwarding","2431 Aviation Avenue, Suite #709, North Charleston, SC 29406"," Aviation Avenue Suite #709","2431","SC 29406"," North Charleston","South Carolina","USA","(843) 460-6400",NULL,,NULL,NULL
"4833","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","2532 Whilden Drive, Durham, NC 27713"," Whilden Drive","2532","NC 27713"," Durham","North Carolina","USA","(919) 957-0004",NULL,,NULL,NULL
"4834","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","11333 E Pine Street, Tulsa, OK 74116"," E Pine Street","11333","OK 74116"," Tulsa","Oklahoma","USA","(918) 234-4556",NULL,,NULL,NULL
"4835","DB Schenker USA","Customs Brokers","Freight Forwarding","97 Canal Landing Blvd, Suite #7, Rochester, NY 14626"," Canal Landing Blvd Suite #7","97","NY 14626"," Rochester","New York","USA","(585) 328-7920",NULL,,NULL,NULL
"4836","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","7505 NE Ambassador Place, Portland, OR 97220"," NE Ambassador Place","7505","OR 97220"," Portland","Oregon","USA","(503) 251-1721",NULL,,NULL,NULL
"4837","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","245 Roger Avenue, Inwood, NY 11096"," Roger Avenue","245","NY 11096"," Inwood","New York","USA","(516) 371-3330",NULL,,NULL,NULL
"4838","LSIdaho Inc.","Customs Brokers","Freight Forwarding","1077 W Boeing Street, Boise, ID 83705"," W Boeing Street","1077","ID 83705"," Boise","Idaho","USA","(208) 429-9895",NULL,,NULL,NULL
"4839","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","9025 Boggy Creek Road, Suite #2, Orlando, FL 32824"," Boggy Creek Road Suite #2","9025","FL 32824"," Orlando","Florida","USA","(407) 816-0186",NULL,,NULL,NULL
"4840","DB Schenker USA","Customs Brokers","Freight Forwarding","120 Mallard Street, Suite #140, St. Rose, LA 70087"," Mallard Street Suite #140","120","LA 70087"," St. Rose","Louisiana","USA","(504) 464-4320",NULL,,NULL,NULL
"4841","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","2 E Bryan Street, Suite #901, Savannah, GA 31401"," E Bryan Street Suite #901","2","GA 31401"," Savannah","Georgia","USA","(912) 201-0202",NULL,,NULL,NULL
"4842","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","11740 Austin Road, Alsip, IL 60803"," Austin Road","11740","IL 60803"," Alsip","Illinois","USA","(708) 385-3773",NULL,,NULL,NULL
"4843","DB Schenker USA","Customs Brokers","Freight Forwarding","1801 NW 135th Avenue, Miami, FL 33182"," NW 135th Avenue","1801","FL 33182"," Miami","Florida","USA","(305) 639-5200",NULL,,NULL,NULL
"4844","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","510 McCormick Drive, Suites K-N, Glen Burnie, MD 21061"," McCormick Drive Suites K-N","510","MD 21061"," Glen Burnie","Maryland","USA","(410) 768-6627",NULL,,NULL,NULL
"4845","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","120 Mallard Street, Saint Rose, LA 70087"," Mallard Street","120","LA 70087"," Saint Rose","Louisiana","USA","(504) 467-5400",NULL,,NULL,NULL
"4846","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","3120 W California Avenue, Salt Lake City, UT 84104"," W California Avenue","3120","UT 84104"," Salt Lake City","Utah","USA","(801) 973-2888",NULL,,NULL,NULL
"4847","BNSF Logistics","Customs Brokers","Freight Forwarding","2650 S Ashland Avenue, Green Bay, WI 54304"," S Ashland Avenue","2650","WI 54304"," Green Bay","Wisconsin","USA","(920) 499-1238",NULL,,NULL,NULL
"4848","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","9675 S 54th Street, Suite #1, Franklin, WI 53132"," S 54th Street Suite #1","9675","WI 53132"," Franklin","Wisconsin","USA","(414) 423-0280",NULL,,NULL,NULL
"4849","Far Reaching Logistics Australia Pty Ltd","Customs Brokers","Freight Forwarding","Altona VIC",NULL,NULL,NULL,"Altona VIC",NULL,"Australia","+61 3 9398 3332",NULL,,,NULL
"4850","James J. Boyle & Co.","Customs Brokers","Freight Forwarding","1200 Corporate Center Dr, Monterey Park, CA 91754"," Corporate Center Dr","1200","CA 91754"," Monterey Park","California","USA","(323) 263-8100",NULL,,,NULL
"4851","Gallagher Transport International, Inc.","Customs Brokers","Freight Forwarding","2705 E 20th Street, Vancouver, WA 98661"," E 20th Street","2705","WA 98661"," Vancouver","Washington","USA","(360) 750-8830",NULL,,NULL,NULL
"4852","Taurus Logistics Ltd","Customs Brokers","Freight Forwarding","245 St Asaph Street, Christchurch 8011"," St Asaph Street","245","8011","Christchurch",,"New Zealand","+64 3 358-5154",NULL,,,NULL
"4853","WIL Lines","Customs Brokers","Freight Forwarding","13290 NW 45th Ave, Opa-locka, FL 33054"," NW 45th Ave","13290","FL 33054"," Opa-locka","Florida","USA","(305) 594-9577",NULL,,,NULL
"4854","John Good Shipping","Customs Brokers","Freight Forwarding","Kingston St, Hull, Kingston upon Hull HU1","Kingston St","13290","0"," Hull","Kingston","UK","01482 325781",NULL,,,NULL
"4855","CEVA Logistics","Customs Brokers","Freight Forwarding","7385 Mission Gorge Road, Suite B, San Diego, CA 92120"," Mission Gorge Road Suite B","7385","CA 92120"," San Diego","California","USA","(619) 229-3500",NULL,,NULL,NULL
"4856","CEVA Logistics","Customs Brokers","Freight Forwarding","8670 Younger Creek Drive #100, Sacramento, CA 95828"," Younger Creek Drive #100","8670","CA 95828"," Sacramento","California","USA","(916) 379-6000",NULL,,NULL,NULL
"4857","Bin-Shoelan Logistics Services Yemen","Customs Brokers","Freight Forwarding","40 Meters St, Sana'a","Meters St","40",NULL,"Sana'a",,"Yemen","+967 734999646",NULL,,,NULL
"4858","BeiraFreight","Customs Brokers","Freight Forwarding","Beira",NULL,NULL,NULL,"Beira",NULL,"Mozambique","258 233 20646",NULL,,,NULL
"4859","Pedraza Customhouse Brokers, Inc.","Customs Brokers","Freight Forwarding","11910 Auburn Road, Laredo, TX 78045"," Auburn Road","11910","TX 78045"," Laredo","Texas","USA","(956) 764-4900",NULL,,NULL,NULL
"4860","R.L. Swearer Company, Inc.","Customs Brokers","Freight Forwarding","115 McLaughlin Road, Coraopolis, PA 15108"," McLaughlin Road","115","PA 15108"," Coraopolis","Pennsylvania","USA","(412) 269-1919",NULL,,NULL,NULL
"4861","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","810 Landmark Drive, Glen Burnie, MD 21061"," Landmark Drive","810","MD 21061"," Glen Burnie","Maryland","USA","(410) 412-7263",NULL,,NULL,NULL
"4862","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","300 Eagles Landing Parkway, Stockbridge, GA 30281"," Eagles Landing Parkway","300","GA 30281"," Stockbridge","Georgia","USA","(770) 389-7066",NULL,,NULL,NULL
"4863","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","201 St. Charles Avenue, Suite #4210, New Orleans, LA 70170"," St. Charles Avenue Suite #4210","201","LA 70170"," New Orleans","Louisiana","USA","(504) 799-6350",NULL,,NULL,NULL
"4864","On Time Express, Inc.","Customs Brokers","Freight Forwarding","5192 Southridge Pkwy, Atlanta, GA 30349"," Southridge Pkwy","5192","GA 30349"," Atlanta","Georgia","USA","800 247-6999",NULL,,NULL,NULL
"4865","DB Schenker USA","Customs Brokers","Freight Forwarding","91-312 Komohana Street, Kapolei, HI 96707","91-312 Komohana Street","5192","HI 96707"," Kapolei","Hawaii","USA","(808) 682-1439",NULL,,NULL,NULL
"4866","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","3881 Business Park Drive, Louisville, KY 40213"," Business Park Drive","3881","KY 40213"," Louisville","Kentucky","USA","(502) 367-6700",NULL,,NULL,NULL
"4867","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","5415 W Sligh Avenue, Suite #100, Tampa, FL 33634"," W Sligh Avenue Suite #100","5415","FL 33634"," Tampa","Florida","USA","(813) 889-7600",NULL,,NULL,NULL
"4868","Logistics Plus, Inc.","Customs Brokers","Freight Forwarding","8600 Freeport Parkway, Suite #440, Dallas, TX 75063"," Freeport Parkway Suite #440","8600","TX 75063"," Dallas","Texas","USA","(877) 447-9564",NULL,,NULL,NULL
"4869","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","980 Beaver Grade Road, Suite #201, Coraopolis, PA 15108"," Beaver Grade Road Suite #201","980","PA 15108"," Coraopolis","Pennsylvania","USA","(412) 262-2800",NULL,,NULL,NULL
"4870","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","1825 Airport Exchange Boulevard, Erlanger, KY 41018"," Airport Exchange Boulevard","1825","KY 41018"," Erlanger","Kentucky","USA","(859) 525-9994",NULL,,NULL,NULL
"4871","Mainfreight USA","Customs Brokers","Freight Forwarding","560-596 Bercik Street, Elizabeth, NJ 07201","560-596 Bercik Street","1825","NJ 7201"," Elizabeth","New Jersey","USA","(908) 527-1010",NULL,,NULL,NULL
"4872","Expeditors International of Washington, Inc.","Customs Brokers","Freight Forwarding","2550 John Glenn Avenue, Suite J, Columbus, OH 43217"," John Glenn Avenue Suite J","2550","OH 43217"," Columbus","Ohio","USA","(614) 492-9840",NULL,,NULL,NULL
"4873","Kuehne + Nagel, Inc.","Customs Brokers","Freight Forwarding","4724 Entrance Drive, Charlotte, NC 28273"," Entrance Drive","4724","NC 28273"," Charlotte","North Carolina","USA","(704) 359-8660",NULL,,NULL,NULL
"4874","DB Schenker USA","Customs Brokers","Freight Forwarding","230-79 Rockaway Blvd, Suite #200, Jamaica, NY 11413","230-79 Rockaway Blvd Suite #200",NULL,"NY 11413"," Jamaica","New York","USA","(718) 656-6500",NULL,,NULL,NULL
